"AAGE_bin_(1.99, 4.0]","AAGE_bin_(10.0, 12.0]","AAGE_bin_(4.0, 6.0]","AAGE_bin_(6.0, 8.0]","AAGE_bin_(8.0, 10.0]",AGE,"ANXIOUS_bin_(-0.01, 2.0]","ANXIOUS_bin_(2.0, 4.0]","ANXIOUS_bin_(4.0, 6.0]","ANXIOUS_bin_(6.0, 8.0]","ANXIOUS_bin_(8.0, 10.0]","APPR12_bin_(0.998, 1.667]","APPR12_bin_(1.667, 2.333]","APPR12_bin_(2.333, 3.0]","APPRCURR_bin_(0.998, 1.667]","APPRCURR_bin_(1.667, 2.333]","APPRCURR_bin_(2.333, 3.0]",BENFTS,"CAIND_bin_(0.997, 2.0]","CAIND_bin_(2.0, 3.0]","CAIND_bin_(3.0, 4.0]","CLAIMS14_bin_(0.993, 2.4]","CLAIMS14_bin_(2.4, 3.8]","CLAIMS14_bin_(3.8, 5.2]","CLAIMS14_bin_(5.2, 6.6]","CLAIMS14_bin_(6.6, 8.0]","CRY12_bin_(371.375, 497.0]","CRY12_bin_(497.0, 622.0]","CRY12_bin_(622.0, 747.0]","CRY12_bin_(747.0, 872.0]","CRY12_bin_(872.0, 997.0]","CRYOX7_EUL_Main_bin_(0.996, 1.8]","CRYOX7_EUL_Main_bin_(1.8, 2.6]","CRYOX7_EUL_Main_bin_(2.6, 3.4]","CRYOX7_EUL_Main_bin_(3.4, 4.2]","CRYOX7_EUL_Main_bin_(4.2, 5.0]","CRYOX7_EUL_Sub_bin_(0.986, 3.8]","CRYOX7_EUL_Sub_bin_(12.2, 15.0]","CRYOX7_EUL_Sub_bin_(3.8, 6.6]","CRYOX7_EUL_Sub_bin_(6.6, 9.4]","CRYOX7_EUL_Sub_bin_(9.4, 12.2]","CURED8_bin_(1.989, 4.2]","CURED8_bin_(10.8, 13.0]","CURED8_bin_(4.2, 6.4]","CURED8_bin_(6.4, 8.6]","CURED8_bin_(8.6, 10.8]",DISEA,"DVHRPNUM_bin_(0.996, 1.8]","DVHRPNUM_bin_(1.8, 2.6]","DVHRPNUM_bin_(2.6, 3.4]","DVHRPNUM_bin_(3.4, 4.2]","DVHRPNUM_bin_(4.2, 5.0]",ENROLL,"ETHEWEUL_bin_(0.998, 1.667]","ETHEWEUL_bin_(1.667, 2.333]","ETHEWEUL_bin_(2.333, 3.0]","ETHGBEUL_bin_(0.998, 1.667]","ETHGBEUL_bin_(1.667, 2.333]","ETHGBEUL_bin_(2.333, 3.0]","ETHWHE_bin_(0.997, 1.75]","ETHWHE_bin_(1.75, 2.5]","ETHWHE_bin_(2.5, 3.25]","ETHWHE_bin_(3.25, 4.0]","FAMUNIT_bin_(0.997, 1.75]","FAMUNIT_bin_(1.75, 2.5]","FAMUNIT_bin_(2.5, 3.25]","FAMUNIT_bin_(3.25, 4.0]",FTPTWK,"GOVTOF_bin_(0.991, 2.8]","GOVTOF_bin_(2.8, 4.6]","GOVTOF_bin_(4.6, 6.4]","GOVTOF_bin_(6.4, 8.2]","GOVTOF_bin_(8.2, 10.0]",HALLRES,"HAPPY_bin_(-0.01, 2.0]","HAPPY_bin_(2.0, 4.0]","HAPPY_bin_(4.0, 6.0]","HAPPY_bin_(6.0, 8.0]","HAPPY_bin_(8.0, 10.0]",HIQUAL22,"HIQUL22D_bin_(0.995, 2.0]","HIQUL22D_bin_(2.0, 3.0]","HIQUL22D_bin_(3.0, 4.0]","HIQUL22D_bin_(4.0, 5.0]","HIQUL22D_bin_(5.0, 6.0]",HITQUA15,HRPID,INECAC05,"LEVQUL22_bin_(0.99, 3.0]","LEVQUL22_bin_(3.0, 5.0]","LEVQUL22_bin_(5.0, 7.0]","LEVQUL22_bin_(7.0, 9.0]","LEVQUL22_bin_(9.0, 11.0]",LFSSAMP,"LKWFWM_bin_(0.986, 3.8]","LKWFWM_bin_(12.2, 15.0]","LKWFWM_bin_(3.8, 6.6]","LKWFWM_bin_(6.6, 9.4]","LKWFWM_bin_(9.4, 12.2]",LNGLST,MARDY6,"MARSEX6_bin_(0.998, 1.667]","MARSEX6_bin_(1.667, 2.333]","MARSEX6_bin_(2.333, 3.0]","MARSTA_bin_(0.995, 2.0]","MARSTA_bin_(2.0, 3.0]","MARSTA_bin_(3.0, 4.0]","MARSTA_bin_(4.0, 5.0]","MARSTA_bin_(5.0, 6.0]",MF5964,NATIDB11,NATIDE11,NATIDNI,NATIDO11,NATIDS11,NATIDW11,"NATOX7_EUL_Main_bin_(0.996, 2.0]","NATOX7_EUL_Main_bin_(2.0, 3.0]","NATOX7_EUL_Main_bin_(3.0, 4.0]","NATOX7_EUL_Main_bin_(4.0, 5.0]","NATOX7_EUL_Sub_bin_(0.986, 3.8]","NATOX7_EUL_Sub_bin_(12.2, 15.0]","NATOX7_EUL_Sub_bin_(3.8, 6.6]","NATOX7_EUL_Sub_bin_(6.6, 9.4]","NATOX7_EUL_Sub_bin_(9.4, 12.2]","NSECM20_bin_(0.986, 3.8]","NSECM20_bin_(12.2, 15.0]","NSECM20_bin_(3.8, 6.6]","NSECM20_bin_(6.6, 9.4]","NSECM20_bin_(9.4, 12.2]","NSECMJ20_bin_(0.993, 2.4]","NSECMJ20_bin_(2.4, 3.8]","NSECMJ20_bin_(3.8, 5.2]","NSECMJ20_bin_(5.2, 6.6]","NSECMJ20_bin_(6.6, 8.0]","NTNLTY12_bin_(371.375, 528.25]","NTNLTY12_bin_(528.25, 684.5]","NTNLTY12_bin_(684.5, 840.75]","NTNLTY12_bin_(840.75, 997.0]","QRTR_bin_(0.997, 1.75]","QRTR_bin_(1.75, 2.5]","QRTR_bin_(2.5, 3.25]","QRTR_bin_(3.25, 4.0]",QUAL21_1,QUAL21_10,QUAL21_11,QUAL21_13,QUAL21_14,QUAL21_15,QUAL21_16,QUAL21_17,QUAL21_18,QUAL21_19,QUAL21_2,QUAL21_20,QUAL21_21,QUAL21_22,QUAL21_23,QUAL21_24,QUAL21_25,QUAL21_26,QUAL21_27,QUAL21_28,QUAL21_29,QUAL21_3,QUAL21_30,QUAL21_31,QUAL21_34,QUAL21_35,QUAL21_39,QUAL21_4,QUAL21_5,QUAL21_7,QUAL21_8,QUAL21_9,QULNOW,REDUND,REFWKD,"REFWKM_bin_(0.989, 3.2]","REFWKM_bin_(3.2, 5.4]","REFWKM_bin_(5.4, 7.6]","REFWKM_bin_(7.6, 9.8]","REFWKM_bin_(9.8, 12.0]",REFWKY,"RELIG11_bin_(0.993, 2.4]","RELIG11_bin_(2.4, 3.8]","RELIG11_bin_(3.8, 5.2]","RELIG11_bin_(5.2, 6.6]","RELIG11_bin_(6.6, 8.0]","RELIGE_bin_(0.993, 2.4]","RELIGE_bin_(2.4, 3.8]","RELIGE_bin_(3.8, 5.2]","RELIGE_bin_(5.2, 6.6]","RELIGE_bin_(6.6, 8.0]","RESTME_bin_(0.995, 2.0]","RESTME_bin_(2.0, 3.0]","RESTME_bin_(3.0, 4.0]","RESTME_bin_(4.0, 5.0]","RESTME_bin_(5.0, 6.0]","SATIS_bin_(-0.01, 2.0]","SATIS_bin_(2.0, 4.0]","SATIS_bin_(4.0, 6.0]","SATIS_bin_(6.0, 8.0]","SATIS_bin_(8.0, 10.0]",SEX,"SMSXFU_bin_(0.997, 1.75]","SMSXFU_bin_(1.75, 2.5]","SMSXFU_bin_(2.5, 3.25]","SMSXFU_bin_(3.25, 4.0]",STUCUR,"TEN1_bin_(0.996, 1.8]","TEN1_bin_(1.8, 2.6]","TEN1_bin_(2.6, 3.4]","TEN1_bin_(3.4, 4.2]","TEN1_bin_(4.2, 5.0]","THISQTR_bin_(0.997, 1.75]","THISQTR_bin_(1.75, 2.5]","THISQTR_bin_(2.5, 3.25]","THISQTR_bin_(3.25, 4.0]","THISWV_bin_(0.996, 1.8]","THISWV_bin_(1.8, 2.6]","THISWV_bin_(2.6, 3.4]","THISWV_bin_(3.4, 4.2]","THISWV_bin_(4.2, 5.0]",TYPINT,"WORTH_bin_(-0.01, 2.0]","WORTH_bin_(2.0, 4.0]","WORTH_bin_(4.0, 6.0]","WORTH_bin_(6.0, 8.0]","WORTH_bin_(8.0, 10.0]",WRKING,"edageband_bin_(10.916, 27.8]","edageband_bin_(27.8, 44.6]","edageband_bin_(44.6, 61.4]","edageband_bin_(61.4, 78.2]","edageband_bin_(78.2, 95.0]",Training (last 3 months),Underemployment hours
0,1,0,0,0,60,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,43,0,1,0,0,0,74,1,2,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,1,0,0,0,2025,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,10.0
0,0,1,0,0,34,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,74,1,2,1,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,9,1,0,0,0,0,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,15.0
0,1,0,0,0,58,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,27,0,1,0,0,0,74,1,1,0,0,1,0,0,2,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,1,0,0,0,0,2025,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,3.0
0,0,0,0,1,51,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,27,0,1,0,0,0,74,1,1,0,0,1,0,0,2,0,1,0,0,0,2,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,0,0,0,0,1,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,7.0
0,0,1,0,0,28,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,27,0,1,0,0,0,74,1,1,0,0,1,0,0,1,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,24,0,0,0,0,1,2024,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,10.0
0,0,1,0,0,29,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,27,0,1,0,0,0,74,1,2,0,0,1,0,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,24,0,0,0,1,0,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,10.0
0,0,0,1,0,44,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,53,0,0,1,0,0,74,1,1,0,0,1,0,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,0,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,10.0
0,0,0,1,0,36,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,41,0,1,0,0,0,8,1,1,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,0,0,1,0,0,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,10.0
1,0,0,0,0,21,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,27,0,1,0,0,0,74,1,1,0,0,1,0,0,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,0,0,0,0,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,5.0
0,0,0,0,1,48,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,29,0,1,0,0,0,74,1,2,0,0,1,0,0,2,0,1,0,0,0,2,2,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,24,0,0,0,1,0,2025,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,40.0
0,0,0,0,1,51,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,27,0,1,0,0,0,74,1,1,0,0,1,0,0,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,2,31,0,0,0,1,0,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,15.0
0,0,0,1,0,36,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,21,1,0,0,0,0,74,2,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,1,2024,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,5.0
0,0,0,0,1,48,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,27,0,1,0,0,0,74,1,1,0,0,1,0,0,1,0,1,0,0,0,2,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,0,0,0,0,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,15.0
0,0,0,1,0,42,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,8,1,0,0,0,0,74,1,1,0,1,0,0,0,1,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,31,0,0,0,1,0,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,5.0
0,0,0,1,0,41,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,44,0,0,1,0,0,51,1,1,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,16,1,0,0,0,0,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,22.0
0,0,0,0,1,46,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,44,0,0,1,0,0,74,1,1,0,0,1,0,0,2,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,5,1,0,0,0,0,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,1,8.5
0,0,0,1,0,40,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,8,1,0,0,0,0,74,1,1,1,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,27,0,0,0,0,1,2024,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,10.0
0,0,0,1,0,42,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,54,0,0,0,1,0,74,1,1,0,0,0,1,0,1,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,0,0,0,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,7.5
0,0,0,1,0,40,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,42,0,1,0,0,0,74,1,1,0,0,1,0,0,1,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,0,1,0,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,3.0
0,0,1,0,0,29,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,8,1,0,0,0,0,74,2,1,1,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,2,1,0,0,0,0,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,2.0
